Game_ID,Date,Home,Away,Home_Runs,Away_Runs,Game_Number
LAD-SD-20240320-1,2024-03-20,LAD,SD,2,5,1
SD-LAD-20240321-1,2024-03-21,SD,LAD,11,15,1
COL-ARI-20240328-1,2024-03-28,COL,ARI,16,1,1
LAA-BAL-20240328-1,2024-03-28,LAA,BAL,11,3,1
DET-CHW-20240328-1,2024-03-28,DET,CHW,0,1,1
WAS-CIN-20240328-1,2024-03-28,WAS,CIN,8,2,1
NYY-HOU-20240328-1,2024-03-28,NYY,HOU,4,5,1
MIN-KC-20240328-1,2024-03-28,MIN,KC,1,4,1
STL-LAD-20240328-1,2024-03-28,STL,LAD,7,1,1
PIT-MIA-20240328-1,2024-03-28,PIT,MIA,5,6,1
CLE-OAK-20240328-1,2024-03-28,CLE,OAK,0,8,1
SF-SD-20240328-1,2024-03-28,SF,SD,6,4,1
BOS-SEA-20240328-1,2024-03-28,BOS,SEA,4,6,1
TOR-TB-20240328-1,2024-03-28,TOR,TB,2,8,1
CHC-TEX-20240328-1,2024-03-28,CHC,TEX,4,3,1
COL-ARI-20240329-1,2024-03-29,COL,ARI,7,3,1
NYY-HOU-20240329-1,2024-03-29,NYY,HOU,1,7,1
STL-LAD-20240329-1,2024-03-29,STL,LAD,6,3,1
PIT-MIA-20240329-1,2024-03-29,PIT,MIA,2,7,1
MIL-NYM-20240329-1,2024-03-29,MIL,NYM,1,3,1
CLE-OAK-20240329-1,2024-03-29,CLE,OAK,4,6,1
ATL-PHI-20240329-1,2024-03-29,ATL,PHI,3,9,1
SF-SD-20240329-1,2024-03-29,SF,SD,3,8,1
BOS-SEA-20240329-1,2024-03-29,BOS,SEA,1,0,1
TOR-TB-20240329-1,2024-03-29,TOR,TB,8,2,1
COL-ARI-20240330-1,2024-03-30,COL,ARI,4,9,1
LAA-BAL-20240330-1,2024-03-30,LAA,BAL,13,4,1
DET-CHW-20240330-1,2024-03-30,DET,CHW,6,7,1
WAS-CIN-20240330-1,2024-03-30,WAS,CIN,6,7,1
NYY-HOU-20240330-1,2024-03-30,NYY,HOU,3,5,1
MIN-KC-20240330-1,2024-03-30,MIN,KC,1,5,1
STL-LAD-20240330-1,2024-03-30,STL,LAD,5,6,1
PIT-MIA-20240330-1,2024-03-30,PIT,MIA,3,9,1
MIL-NYM-20240330-1,2024-03-30,MIL,NYM,6,7,1
CLE-OAK-20240330-1,2024-03-30,CLE,OAK,3,12,1
ATL-PHI-20240330-1,2024-03-30,ATL,PHI,4,12,1
SF-SD-20240330-1,2024-03-30,SF,SD,6,9,1
BOS-SEA-20240330-1,2024-03-30,BOS,SEA,4,3,1
TOR-TB-20240330-1,2024-03-30,TOR,TB,5,1,1
CHC-TEX-20240330-1,2024-03-30,CHC,TEX,11,2,1
COL-ARI-20240331-1,2024-03-31,COL,ARI,5,1,1
LAA-BAL-20240331-1,2024-03-31,LAA,BAL,1,4,1
DET-CHW-20240331-1,2024-03-31,DET,CHW,2,3,1
WAS-CIN-20240331-1,2024-03-31,WAS,CIN,6,5,1
NYY-HOU-20240331-1,2024-03-31,NYY,HOU,3,4,1
MIN-KC-20240331-1,2024-03-31,MIN,KC,11,0,1
STL-LAD-20240331-1,2024-03-31,STL,LAD,5,4,1
PIT-MIA-20240331-1,2024-03-31,PIT,MIA,7,9,1
MIL-NYM-20240331-1,2024-03-31,MIL,NYM,1,4,1
CLE-OAK-20240331-1,2024-03-31,CLE,OAK,4,3,1
ATL-PHI-20240331-1,2024-03-31,ATL,PHI,5,4,1
SF-SD-20240331-1,2024-03-31,SF,SD,13,4,1
BOS-SEA-20240331-1,2024-03-31,BOS,SEA,1,5,1
TOR-TB-20240331-1,2024-03-31,TOR,TB,2,9,1
CHC-TEX-20240331-1,2024-03-31,CHC,TEX,5,9,1
NYY-ARI-20240401-1,2024-04-01,NYY,ARI,2,5,1
KC-BAL-20240401-1,2024-04-01,KC,BAL,6,4,1
ATL-CHW-20240401-1,2024-04-01,ATL,CHW,0,9,1
COL-CHC-20240401-1,2024-04-01,COL,CHC,5,0,1
TOR-HOU-20240401-1,2024-04-01,TOR,HOU,10,0,1
SF-LAD-20240401-1,2024-04-01,SF,LAD,8,3,1
LAA-MIA-20240401-1,2024-04-01,LAA,MIA,4,7,1
DET-NYM-20240401-1,2024-04-01,DET,NYM,0,5,1
BOS-OAK-20240401-1,2024-04-01,BOS,OAK,0,9,1
CIN-PHI-20240401-1,2024-04-01,CIN,PHI,3,6,1
STL-SD-20240401-1,2024-04-01,STL,SD,2,6,1
CLE-SEA-20240401-1,2024-04-01,CLE,SEA,5,4,1
TEX-TB-20240401-1,2024-04-01,TEX,TB,3,9,1
PIT-WAS-20240401-1,2024-04-01,PIT,WAS,4,8,1
NYY-ARI-20240402-1,2024-04-02,NYY,ARI,7,0,1
KC-BAL-20240402-1,2024-04-02,KC,BAL,1,4,1
ATL-CHW-20240402-1,2024-04-02,ATL,CHW,3,2,1
COL-CHC-20240402-1,2024-04-02,COL,CHC,12,2,1
TOR-HOU-20240402-1,2024-04-02,TOR,HOU,1,2,1
SF-LAD-20240402-1,2024-04-02,SF,LAD,5,4,1
LAA-MIA-20240402-1,2024-04-02,LAA,MIA,1,3,1
