,away,home,time,weather
0,KC 3.8,@DET 4.2,1:10pm,62°         35%
1,OAK 2.8,@BAL 4.7,7:05pm,49°
2,LAD 4.7,@TOR 4.3,7:07pm,75°
3,CHC 3.7,@BOS 3.8,7:10pm,38°
4,STL 3.6,@NYM 3.9,7:10pm,49°
5,WAS 4.1,@MIA 4.4,7:10pm,74°          2%
6,CLE 3.3,@ATL 5.2,7:20pm,67°         2%
7,TB 4.5,@CHW 3.0,7:40pm,59°         73%
8,CIN 3.7,@TEX 4.8,8:05pm,71°         11%
9,NYY 4.8,@MIL 4.2,8:10pm,52°          68%
10,MIN 4.1,@LAA 4.4,9:38pm,60°         4%
11,ARI 3.9,@SEA 3.6,9:40pm,54°          60%
12,PHI 3.7,@SD 3.8,9:40pm,61°         10%
13,PIT 3.7,@SF 4.3,10:15pm,57°         3%
