,team code, game_date, game_number, mlb id, player name, batting order, confirmed, position, weather
0,TB,5/1/2024,1,650490,Yandy Diaz,1,N,,retractable
1,TB,5/1/2024,1,668227,Randy Arozarena,2,N,,retractable
2,TB,5/1/2024,1,680700,Richie Palacios,3,N,,retractable
3,TB,5/1/2024,1,670623,Isaac Paredes,4,N,,retractable
4,TB,5/1/2024,1,623912,Harold Ramirez,5,N,,retractable
5,TB,5/1/2024,1,642708,Amed Rosario,6,N,,retractable
6,TB,5/1/2024,1,676609,Jose Caballero,7,N,,retractable
7,TB,5/1/2024,1,642350,Jose Siri,8,N,,retractable
8,TB,5/1/2024,1,666163,Ben Rortvedt,9,N,,retractable
9,TB,5/1/2024,1,621107,Zach Eflin,SP,N,,retractable
10,MIL,5/1/2024,1,686217,Sal Frelick,1,N,,retractable
11,MIL,5/1/2024,1,661388,William Contreras,2,N,,retractable
12,MIL,5/1/2024,1,642715,Willy Adames,3,N,,retractable
13,MIL,5/1/2024,1,641343,Jake Bauers,4,N,,retractable
14,MIL,5/1/2024,1,656555,Rhys Hoskins,5,N,,retractable
15,MIL,5/1/2024,1,663368,Blake Perkins,6,N,,retractable
16,MIL,5/1/2024,1,668930,Brice Turang,7,N,,retractable
17,MIL,5/1/2024,1,687401,Joey Ortiz,8,N,,retractable
18,MIL,5/1/2024,1,694192,Jackson Chourio,9,N,,retractable
19,MIL,5/1/2024,1,607067,Colin Rea,SP,N,,retractable
20,STL,5/1/2024,1,680977,Brendan Donovan,1,N,,outdoor
21,STL,5/1/2024,1,575929,Willson Contreras,2,N,,outdoor
22,STL,5/1/2024,1,663457,Lars Nootbaar,3,N,,outdoor
23,STL,5/1/2024,1,571448,Nolan Arenado,4,N,,outdoor
24,STL,5/1/2024,1,502671,Paul Goldschmidt,5,N,,outdoor
25,STL,5/1/2024,1,676475,Alec Burleson,6,N,,outdoor
26,STL,5/1/2024,1,669357,Nolan Gorman,7,N,,outdoor
27,STL,5/1/2024,1,691026,Masyn Winn,8,N,,outdoor
28,STL,5/1/2024,1,672279,Mike Siani,9,N,,outdoor
29,STL,5/1/2024,1,571945,Miles Mikolas,SP,N,,outdoor
30,DET,5/1/2024,1,682985,Riley Greene,1,N,,outdoor
31,DET,5/1/2024,1,592192,Mark Canha,2,N,,outdoor
32,DET,5/1/2024,1,681481,Kerry Carpenter,3,N,,outdoor
33,DET,5/1/2024,1,679529,Spencer Torkelson,4,N,,outdoor
34,DET,5/1/2024,1,663837,Matt Vierling,5,N,,outdoor
35,DET,5/1/2024,1,690993,Colt Keith,6,N,,outdoor
36,DET,5/1/2024,1,678009,Parker Meadows,7,N,,outdoor
37,DET,5/1/2024,1,595879,Javier Baez,8,N,,outdoor
38,DET,5/1/2024,1,668670,Jake Rogers,9,N,,outdoor
39,DET,5/1/2024,1,628317,Kenta Maeda,SP,N,,outdoor
