Game_ID,Game,Time,Lineups Confirmed,Official Pick,Pr(Win),EV,As Of,Kelly Pct.,Units
SF-PHI-20240506-1,PHI (-223) vs SF (+197),Game 1 - 4:05pm,Y,SF +197,37.30%,10.77%,5/6/2024 15:50:15,5.47%,1u
DET-CLE-20240506-1,CLE (-113) vs DET (+104),Game 1 - 6:10pm,Y,CLE -113,54.18%,1.71%,5/6/2024 17:55:33,1.95%,0.5u
LAA-PIT-20240506-1,PIT (-163) vs LAA (+146),Game 1 - 6:40pm,Y,LAA +146,44.62%,9.76%,5/6/2024 18:25:01,6.68%,1.5u
CHW-TB-20240506-1,TB (-160) vs CHW (+141),Game 1 - 6:50pm,Y,CHW +141,43.74%,5.41%,5/6/2024 18:35:23,3.83%,1u
MIL-KC-20240506-1,KC (-129) vs MIL (+117),Game 1 - 7:10pm,Y,MIL +117,49.22%,6.80%,5/6/2024 18:55:05,5.81%,1u
SEA-MIN-20240506-1,MIN (+111) vs SEA (-124),Game 1 - 7:40pm,Y,SEA -124,55.77%,0.75%,5/6/2024 19:25:18,0.93%,0u
SD-CHC-20240506-1,CHC (-107) vs SD (-103),Game 1 - 7:40pm,Y,No bet,,,5/6/2024 19:25:18,,
NYM-STL-20240506-1,STL (-132) vs NYM (+121),Game 1 - 7:45pm,Y,NYM +121,49.67%,9.78%,5/6/2024 19:30:03,8.08%,1.5u
TEX-OAK-20240506-1,OAK (+122) vs TEX (-134),Game 1 - 9:40pm,Y,TEX -134,60.67%,5.95%,5/6/2024 21:25:09,7.97%,1.5u
MIA-LAD-20240506-1,LAD (-335) vs MIA (+272),Game 1 - 10:10pm,Y,No bet,,,5/6/2024 21:55:25,,
