,Game_ID,Date,Home,Away,Game_Number,Home_ML,Away_ML,Home_Win_Prob,Away_Win_Prob,Home_EV,Away_EV,Home_Runs,Away_Runs,Bet_Home,Bet_Away,Win_Bet,Return,Result,Home_Kelly,Away_Kelly,Bet_Kelly,Return_Kelly,Result_Kelly,Bet_Kelly_Units,Result_Kelly_Units
224,COL-ARI-20240328-1,2024-03-28,ARI,COL,1,1.4784688995215312,2.88,0.57451606,0.42548394,-0.1519048668089365,0.2253937530517578,16,1,0.0,1.0,0,0.0,-1.0,-0.31474537459999996,0.11989029106382976,0.11989029106382976,0.0,-0.11989029106382976,2.397805821276595,-2.397805821276595
107,NYY-HOU-20240328-1,2024-03-28,HOU,NYY,1,1.6993006993006992,2.29,0.46724716,0.5327529,-0.2060066069756355,0.2253316044807433,4,5,0.0,1.0,1,2.29,1.29,-0.2945894870000001,0.1705457992248062,0.1705457992248062,0.3905498802248062,0.220004081,3.410915984496124,4.40008162
80,PIT-MIA-20240328-1,2024-03-28,MIA,PIT,1,1.819672131147541,2.1100000000000003,0.45731646,0.54268354,-0.1678339858524135,0.1450622731447222,5,6,0.0,1.0,1,2.1100000000000003,1.1100000000000003,-0.20475745879999996,0.1306867291891893,0.1306867291891893,0.2757489985891895,0.1450622694000002,2.6137345837837858,2.9012453880000035
275,BOS-SEA-20240328-1,2024-03-28,SEA,BOS,1,1.6993006993006992,2.29,0.5169381,0.4830619,-0.1215667416165759,0.1110423922538756,4,6,0.0,1.0,1,2.29,1.29,-0.17384041700000014,0.08233469069767443,0.08233469069767443,0.18854644169767446,0.10621175100000002,1.6466938139534886,2.1242350200000004
133,MIN-KC-20240328-1,2024-03-28,KC,MIN,1,2.1399999999999997,1.8,0.34587768,0.65412235,-0.2563630238175392,0.1774202346801757,1,4,0.0,1.0,1,1.8,0.8,-0.2279138550877194,0.22177524999999995,0.22177524999999995,0.3991954499999999,0.17742019999999994,4.435504999999999,3.548403999999999
294,ATL-PHI-20240329-1,2024-03-29,PHI,ATL,1,2.1799999999999997,1.78125,0.58426106,0.41573894,0.2736891102790834,-0.2594650126993656,3,9,1.0,0.0,0,0.0,-1.0,0.23193992440677955,-0.33211521679999995,0.23193992440677955,0.0,-0.23193992440677955,4.638798488135591,-4.638798488135591
79,PIT-MIA-20240329-1,2024-03-29,MIA,PIT,1,1.72992700729927,2.25,0.44447985,0.5555202,-0.2334333269492439,0.2499203979969024,2,7,0.0,1.0,1,2.25,1.25,-0.316582824,0.19993632000000003,0.19993632000000003,0.44985672000000004,0.24992040000000001,3.9987264000000002,4.998408
106,NYY-HOU-20240329-1,2024-03-29,HOU,NYY,1,1.847457627118644,2.08,0.3440222,0.6559778,-0.3644335360850318,0.3644337940216064,1,7,0.0,1.0,1,2.08,1.08,-0.4300316040000001,0.25,0.25,0.52,0.27,5.0,5.4
274,BOS-SEA-20240330-1,2024-03-30,SEA,BOS,1,1.6802721088435373,2.34,0.44339615,0.55660385,-0.2549738141955162,0.302453006505966,4,3,0.0,1.0,0,0.0,-1.0,-0.3748115095000002,0.22571120074626863,0.22571120074626863,0.0,-0.22571120074626863,4.5142240149253725,-4.5142240149253725
184,LAA-BAL-20240330-1,2024-03-30,BAL,LAA,1,1.6134969325153374,2.5,0.5746201,0.42537987,-0.0750017456892059,0.0634496808052063,13,4,0.0,1.0,0,0.0,-1.0,-0.11874908810000002,0.04229980333333335,0.04229980333333335,0.0,-0.04229980333333335,0.8459960666666669,-0.8459960666666669
132,MIN-KC-20240330-1,2024-03-30,KC,MIN,1,2.04,1.8620689655172413,0.42751878,0.5724812,-0.1278616786003112,0.0659995037933874,1,5,0.0,1.0,1,1.8620689655172413,0.8620689655172413,-0.1229439123076923,0.07655941520000004,0.07655941520000004,0.14255891106206903,0.06599949586206899,1.5311883040000007,1.3199899172413798
293,ATL-PHI-20240330-1,2024-03-30,PHI,ATL,1,2.17,1.7575757575757576,0.37431332,0.62568665,-0.1877400556206703,0.099691679983428,4,12,0.0,1.0,1,1.7575757575757576,0.7575757575757576,-0.16046159452991454,0.1315930676,0.1315930676,0.2312847854787879,0.09969171787878789,2.631861352,1.9938343575757578
223,COL-ARI-20240330-1,2024-03-30,ARI,COL,1,1.5617977528089888,2.6100000000000003,0.5271791,0.47282088,-0.1783074020673442,0.2340624916553498,4,9,0.0,1.0,1,2.6100000000000003,1.6100000000000003,-0.3144420663999999,0.14538044521739135,0.14538044521739135,0.37944296201739147,0.23406251680000012,2.907608904347827,4.681250336000002
78,PIT-MIA-20240330-1,2024-03-30,MIA,PIT,1,1.970873786407767,1.9433962264150944,0.43733415,0.5626658,-0.1421522142795415,0.0934826315573926,3,9,0.0,1.0,1,1.9433962264150944,0.9433962264150944,-0.14221162399999998,0.09909160100000003,0.09909160100000003,0.19257424345283025,0.09348264245283022,1.9818320200000006,1.8696528490566044
183,LAA-BAL-20240331-1,2024-03-31,BAL,LAA,1,1.7352941176470589,2.25,0.507493,0.49250698,-0.1193503492018755,0.1081407070159912,1,4,0.0,1.0,1,2.25,1.25,-0.16231649279999996,0.08651258000000003,0.08651258000000003,0.19465330500000008,0.10814072500000005,1.7302516000000006,2.162814500000001
131,MIN-KC-20240331-1,2024-03-31,KC,MIN,1,2.04,1.8620689655172413,0.3632819,0.6367181,-0.2552720934152603,0.1809215937924181,11,0,0.0,1.0,0,0.0,-1.0,-0.24894704230769224,0.21531109599999998,0.21531109599999998,0.0,-0.21531109599999998,4.30622192,-4.30622192
11,TOR-TB-20240331-1,2024-03-31,TB,TOR,1,2.02,1.8849557522123894,0.42162785,0.5783721,-0.1440954360365868,0.0902058561291313,2,9,0.0,1.0,1,1.8849557522123894,0.8849557522123894,-0.1454036205882352,0.1019326294999999,0.1019326294999999,0.1921384963141591,0.09020586681415921,2.0386525899999977,1.8041173362831842
273,BOS-SEA-20240331-1,2024-03-31,SEA,BOS,1,1.9090909090909092,1.99009900990099,0.43027964,0.5697204,-0.1820810700322056,0.1337999790021689,1,5,0.0,1.0,1,1.99009900990099,0.9900990099009901,-0.19641279999999997,0.13513796359999997,0.13513796359999997,0.268937927560396,0.133799963960396,2.7027592719999993,2.67599927920792
48,STL-LAD-20240331-1,2024-03-31,LAD,STL,1,1.6329113924050633,2.4299999999999997,0.5054169,0.49458307,-0.1746989375428309,0.2018368607759476,5,4,0.0,1.0,0,0.0,-1.0,-0.27602435059999997,0.14114467839160838,0.14114467839160838,0.0,-0.14114467839160838,2.8228935678321676,-2.8228935678321676
230,CLE-OAK-20240331-1,2024-03-31,OAK,CLE,1,2.08,1.847457627118644,0.35059753,0.6494025,-0.270757166147232,0.1997436002149419,4,3,0.0,1.0,0,0.0,-1.0,-0.25070108111111106,0.2356974146,0.2356974146,0.0,-0.2356974146,4.7139482919999995,-4.7139482919999995
199,KC-BAL-20240401-1,2024-04-01,BAL,KC,1,1.6451612903225805,2.4,0.6221473,0.37785268,0.0235326905404365,-0.0931535720825196,6,4,1.0,0.0,1,1.6451612903225805,0.6451612903225805,0.036475645999999855,-0.06653824857142855,0.036475645999999855,0.06000832083870943,0.023532674838709577,0.729512919999997,0.47065349677419155
115,NYY-ARI-20240401-1,2024-04-01,ARI,NYY,1,2.04,1.8695652173913042,0.3865968,0.6134032,-0.2074765622615815,0.1467972890190454,2,5,0.0,1.0,1,1.8695652173913042,0.8695652173913042,-0.20321396923076926,0.16881687999999995,0.16881687999999995,0.3156141669565216,0.14679728695652167,3.376337599999999,2.935945739130433
20,TOR-HOU-20240401-1,2024-04-01,HOU,TOR,1,1.704225352112676,2.29,0.44289553,0.55710447,-0.245206206617221,0.2813402771949767,10,0,0.0,1.0,0,0.0,-1.0,-0.34819281739999997,0.21377460178294572,0.21377460178294572,0.0,-0.21377460178294572,4.275492035658914,-4.275492035658914
217,DET-NYM-20240401-1,2024-04-01,NYM,DET,1,1.7462686567164178,2.2,0.51844347,0.48155653,-0.0946584263844276,0.059424376487732,0,5,0.0,1.0,1,2.2,1.2000000000000002,-0.12684228020000002,0.049520305,0.049520305,0.108944671,0.059424366000000006,0.9904061,1.1884873200000001
175,LAA-MIA-20240401-1,2024-04-01,MIA,LAA,1,1.9433962264150944,1.970873786407767,0.61203885,0.38796115,0.1840377767509391,-0.2353775408661481,4,7,1.0,0.0,0,0.0,-1.0,0.200800031,-0.24243886550000004,0.200800031,0.0,-0.200800031,4.01600062,-4.01600062
229,CLE-SEA-20240401-1,2024-04-01,SEA,CLE,1,1.99009900990099,1.8928571428571428,0.66498506,0.33501494,0.3233861108817676,-0.3658645791666848,5,4,1.0,0.0,1,1.99009900990099,0.9900990099009901,0.25,-0.4097683272000001,0.25,0.4975247524752475,0.24752475247524752,5.0,4.9504950495049505
251,CIN-PHI-20240401-1,2024-04-01,PHI,CIN,1,1.6993006993006992,2.31,0.5221269,0.4778731,-0.1127493714952803,0.1038868308067322,3,6,0.0,1.0,1,2.31,1.31,-0.1612316330000002,0.07930294732824436,0.07930294732824436,0.18318980832824447,0.10388686100000011,1.586058946564887,2.077737220000002
174,LAA-MIA-20240402-1,2024-04-02,MIA,LAA,1,1.7194244604316546,2.24,0.526408,0.47359198,-0.0975862571171351,0.0608460426330567,1,3,0.0,1.0,1,2.24,1.2400000000000002,-0.1318848522000001,0.04906939935483886,0.04906939935483886,0.10991545455483906,0.0608460552000002,0.9813879870967771,1.2169211040000039
114,NYY-ARI-20240402-1,2024-04-02,ARI,NYY,1,1.9433962264150944,1.970873786407767,0.4023006,0.5976994,-0.2181705393881168,0.1724103689193726,7,0,0.0,1.0,0,0.0,-1.0,-0.23126076399999995,0.183329782,0.183329782,0.0,-0.183329782,3.6665956399999997,-3.6665956399999997
277,BOS-OAK-20240402-1,2024-04-02,OAK,BOS,1,2.31,1.6944444444444444,0.4787087,0.52129126,0.1058171597123146,-0.1167009274164835,4,5,1.0,0.0,0,0.0,-1.0,0.08077644045801523,-0.168049268,0.08077644045801523,0.0,-0.08077644045801523,1.6155288091603044,-1.6155288091603044
19,TOR-HOU-20240402-1,2024-04-02,HOU,TOR,1,1.6993006993006992,2.27,0.50017077,0.49982923,-0.1500594653449692,0.1396106505393981,1,2,0.0,1.0,1,2.27,1.27,-0.2145850289000002,0.10599397803149606,0.10599397803149606,0.24060633013149604,0.1346123521,2.1198795606299212,2.692247042
222,COL-CHC-20240402-1,2024-04-02,CHC,COL,1,1.5714285714285714,2.58,0.4676043,0.5323957,-0.2651932580130441,0.3735809588432313,12,2,0.0,1.0,0,0.0,-1.0,-0.4640881750000001,0.23644361139240516,0.23644361139240516,0.0,-0.23644361139240516,4.728872227848103,-4.728872227848103
198,KC-BAL-20240402-1,2024-04-02,BAL,KC,1,1.641025641025641,2.41,0.5561658,0.4438342,-0.087317637908153,0.0696403872966766,1,4,0.0,1.0,1,2.41,1.4100000000000001,-0.13621555200000002,0.049390370212766016,0.049390370212766016,0.1190307922127661,0.06964042200000009,0.9878074042553203,1.3928084400000018
228,CLE-SEA-20240402-1,2024-04-02,SEA,CLE,1,1.8928571428571428,2.02,0.39089155,0.60910845,-0.2600981337683541,0.2303990650177002,2,5,0.0,1.0,1,2.02,1.02,-0.29130991400000006,0.2258814401960785,0.2258814401960785,0.4562805091960786,0.2303990690000001,4.5176288039215695,4.607981380000002
250,CIN-PHI-20240402-1,2024-04-02,PHI,CIN,1,1.7352941176470589,2.25,0.49935496,0.50064504,-0.1334722778376411,0.1264513432979583,9,4,0.0,1.0,0,0.0,-1.0,-0.18152229439999992,0.10116107200000002,0.10116107200000002,0.0,-0.10116107200000002,2.0232214400000004,-2.0232214400000004
173,LAA-MIA-20240403-1,2024-04-03,MIA,LAA,1,1.8928571428571428,2.0,0.5476059,0.45239413,0.0365396865776606,-0.0952117443084716,2,10,1.0,0.0,0,0.0,-1.0,0.04092447439999991,-0.09521176999999997,0.04092447439999991,0.0,-0.04092447439999991,0.8184894879999982,-0.8184894879999982
18,TOR-HOU-20240403-1,2024-04-03,HOU,TOR,1,1.6756756756756757,2.34,0.49854353,0.5014565,-0.1646027621385213,0.1734082078933715,8,0,0.0,1.0,0,0.0,-1.0,-0.24361208999999998,0.1294090895522387,0.1294090895522387,0.0,-0.1294090895522387,2.5881817910447737,-2.5881817910447737
